START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/03/20,07:10 PM,07:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/03/20,07/03/20,10:10 PM,10:10 PM,FALSE,TRUE,07/03/20,06:10 PM,06:10 PM,FREE,BUSY
07/04/20,04:10 PM,04:10 PM,Royals at Tigers,Comerica Park - Detroit,"",07/04/20,07/04/20,07:10 PM,07:10 PM,FALSE,TRUE,07/04/20,03:10 PM,03:10 PM,FREE,BUSY
07/05/20,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/05/20,07/05/20,04:10 PM,04:10 PM,FALSE,TRUE,07/05/20,12:10 PM,12:10 PM,FREE,BUSY
07/06/20,10:07 PM,10:07 PM,Tigers at Angels,Angel Stadium - Anaheim,"Local TV: FS-D",07/07/20,07/07/20,01:07 AM,01:07 AM,FALSE,TRUE,07/06/20,09:07 PM,09:07 PM,FREE,BUSY
07/07/20,10:07 PM,10:07 PM,Tigers at Angels,Angel Stadium - Anaheim,"Local TV: FS-D",07/08/20,07/08/20,01:07 AM,01:07 AM,FALSE,TRUE,07/07/20,09:07 PM,09:07 PM,FREE,BUSY
07/08/20,10:07 PM,10:07 PM,Tigers at Angels,Angel Stadium - Anaheim,"Local TV: FS-D",07/09/20,07/09/20,01:07 AM,01:07 AM,FALSE,TRUE,07/08/20,09:07 PM,09:07 PM,FREE,BUSY
07/09/20,09:07 PM,09:07 PM,Tigers at Angels,Angel Stadium - Anaheim,"Local TV: FS-D",07/10/20,07/10/20,12:07 AM,12:07 AM,FALSE,TRUE,07/09/20,08:07 PM,08:07 PM,FREE,BUSY
07/10/20,08:10 PM,08:10 PM,Tigers at Astros,Minute Maid Park - Houston,"Local TV: FS-D",07/10/20,07/10/20,11:10 PM,11:10 PM,FALSE,TRUE,07/10/20,07:10 PM,07:10 PM,FREE,BUSY
07/11/20,04:10 PM,04:10 PM,Tigers at Astros,Minute Maid Park - Houston,"Local TV: FS-D",07/11/20,07/11/20,07:10 PM,07:10 PM,FALSE,TRUE,07/11/20,03:10 PM,03:10 PM,FREE,BUSY
07/12/20,02:10 PM,02:10 PM,Tigers at Astros,Minute Maid Park - Houston,"Local TV: FS-D",07/12/20,07/12/20,05:10 PM,05:10 PM,FALSE,TRUE,07/12/20,01:10 PM,01:10 PM,FREE,BUSY
07/14/20,,,AL All-Stars at NL All-Stars - Time TBD,Dodger Stadium - Los Angeles,"",07/14/20,07/14/20,,,FALSE,TRUE,07/14/20,,,FREE,BUSY
07/17/20,07:10 PM,07:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/17/20,07/17/20,10:10 PM,10:10 PM,FALSE,TRUE,07/17/20,06:10 PM,06:10 PM,FREE,BUSY
07/18/20,06:10 PM,06:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/18/20,07/18/20,09:10 PM,09:10 PM,FALSE,TRUE,07/18/20,05:10 PM,05:10 PM,FREE,BUSY
07/19/20,01:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/19/20,07/19/20,04:10 PM,04:10 PM,FALSE,TRUE,07/19/20,12:10 PM,12:10 PM,FREE,BUSY
07/21/20,07:10 PM,07:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/21/20,07/21/20,10:10 PM,10:10 PM,FALSE,TRUE,07/21/20,06:10 PM,06:10 PM,FREE,BUSY
07/22/20,07:10 PM,07:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/22/20,07/22/20,10:10 PM,10:10 PM,FALSE,TRUE,07/22/20,06:10 PM,06:10 PM,FREE,BUSY
07/23/20,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/23/20,07/23/20,04:10 PM,04:10 PM,FALSE,TRUE,07/23/20,12:10 PM,12:10 PM,FREE,BUSY
07/24/20,07:10 PM,07:10 PM,Tigers at Rays,Tropicana Field - St. Petersburg,"Local TV: FS-D",07/24/20,07/24/20,10:10 PM,10:10 PM,FALSE,TRUE,07/24/20,06:10 PM,06:10 PM,FREE,BUSY
07/25/20,01:10 PM,01:10 PM,Tigers at Rays,Tropicana Field - St. Petersburg,"Local TV: FS-D",07/25/20,07/25/20,04:10 PM,04:10 PM,FALSE,TRUE,07/25/20,12:10 PM,12:10 PM,FREE,BUSY
07/26/20,01:10 PM,01:10 PM,Tigers at Rays,Tropicana Field - St. Petersburg,"Local TV: FS-D",07/26/20,07/26/20,04:10 PM,04:10 PM,FALSE,TRUE,07/26/20,12:10 PM,12:10 PM,FREE,BUSY
07/27/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",07/27/20,07/27/20,11:10 PM,11:10 PM,FALSE,TRUE,07/27/20,07:10 PM,07:10 PM,FREE,BUSY
07/28/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",07/28/20,07/28/20,11:10 PM,11:10 PM,FALSE,TRUE,07/28/20,07:10 PM,07:10 PM,FREE,BUSY
07/29/20,02:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",07/29/20,07/29/20,05:10 PM,05:10 PM,FALSE,TRUE,07/29/20,01:10 PM,01:10 PM,FREE,BUSY
07/30/20,07:10 PM,07:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/30/20,07/30/20,10:10 PM,10:10 PM,FALSE,TRUE,07/30/20,06:10 PM,06:10 PM,FREE,BUSY
07/31/20,07:10 PM,07:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",07/31/20,07/31/20,10:10 PM,10:10 PM,FALSE,TRUE,07/31/20,06:10 PM,06:10 PM,FREE,BUSY
08/01/20,06:10 PM,06:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/01/20,08/01/20,09:10 PM,09:10 PM,FALSE,TRUE,08/01/20,05:10 PM,05:10 PM,FREE,BUSY
08/02/20,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/02/20,08/02/20,04:10 PM,04:10 PM,FALSE,TRUE,08/02/20,12:10 PM,12:10 PM,FREE,BUSY
08/04/20,07:10 PM,07:10 PM,Giants at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/04/20,08/04/20,10:10 PM,10:10 PM,FALSE,TRUE,08/04/20,06:10 PM,06:10 PM,FREE,BUSY
08/05/20,01:10 PM,01:10 PM,Giants at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/05/20,08/05/20,04:10 PM,04:10 PM,FALSE,TRUE,08/05/20,12:10 PM,12:10 PM,FREE,BUSY
08/06/20,08:05 PM,08:05 PM,Tigers at Rangers,Globe Life Field - Arlington,"Local TV: FS-D",08/06/20,08/06/20,11:05 PM,11:05 PM,FALSE,TRUE,08/06/20,07:05 PM,07:05 PM,FREE,BUSY
08/07/20,08:05 PM,08:05 PM,Tigers at Rangers,Globe Life Field - Arlington,"Local TV: FS-D",08/07/20,08/07/20,11:05 PM,11:05 PM,FALSE,TRUE,08/07/20,07:05 PM,07:05 PM,FREE,BUSY
08/08/20,07:05 PM,07:05 PM,Tigers at Rangers,Globe Life Field - Arlington,"Local TV: FS-D",08/08/20,08/08/20,10:05 PM,10:05 PM,FALSE,TRUE,08/08/20,06:05 PM,06:05 PM,FREE,BUSY
08/09/20,02:35 PM,02:35 PM,Tigers at Rangers,Globe Life Field - Arlington,"Local TV: FS-D",08/09/20,08/09/20,05:35 PM,05:35 PM,FALSE,TRUE,08/09/20,01:35 PM,01:35 PM,FREE,BUSY
08/11/20,07:10 PM,07:10 PM,Orioles at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/11/20,08/11/20,10:10 PM,10:10 PM,FALSE,TRUE,08/11/20,06:10 PM,06:10 PM,FREE,BUSY
08/12/20,07:10 PM,07:10 PM,Orioles at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/12/20,08/12/20,10:10 PM,10:10 PM,FALSE,TRUE,08/12/20,06:10 PM,06:10 PM,FREE,BUSY
08/13/20,01:10 PM,01:10 PM,Orioles at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/13/20,08/13/20,04:10 PM,04:10 PM,FALSE,TRUE,08/13/20,12:10 PM,12:10 PM,FREE,BUSY
08/14/20,07:10 PM,07:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/14/20,08/14/20,10:10 PM,10:10 PM,FALSE,TRUE,08/14/20,06:10 PM,06:10 PM,FREE,BUSY
08/15/20,06:10 PM,06:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/15/20,08/15/20,09:10 PM,09:10 PM,FALSE,TRUE,08/15/20,05:10 PM,05:10 PM,FREE,BUSY
08/16/20,01:10 PM,01:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/16/20,08/16/20,04:10 PM,04:10 PM,FALSE,TRUE,08/16/20,12:10 PM,12:10 PM,FREE,BUSY
08/18/20,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: FS-D",08/18/20,08/18/20,10:05 PM,10:05 PM,FALSE,TRUE,08/18/20,06:05 PM,06:05 PM,FREE,BUSY
08/19/20,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: FS-D",08/19/20,08/19/20,10:05 PM,10:05 PM,FALSE,TRUE,08/19/20,06:05 PM,06:05 PM,FREE,BUSY
08/21/20,08:10 PM,08:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",08/21/20,08/21/20,11:10 PM,11:10 PM,FALSE,TRUE,08/21/20,07:10 PM,07:10 PM,FREE,BUSY
08/22/20,07:10 PM,07:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",08/22/20,08/22/20,10:10 PM,10:10 PM,FALSE,TRUE,08/22/20,06:10 PM,06:10 PM,FREE,BUSY
08/23/20,02:10 PM,02:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",08/23/20,08/23/20,05:10 PM,05:10 PM,FALSE,TRUE,08/23/20,01:10 PM,01:10 PM,FREE,BUSY
08/24/20,07:10 PM,07:10 PM,Astros at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/24/20,08/24/20,10:10 PM,10:10 PM,FALSE,TRUE,08/24/20,06:10 PM,06:10 PM,FREE,BUSY
08/25/20,07:10 PM,07:10 PM,Astros at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/25/20,08/25/20,10:10 PM,10:10 PM,FALSE,TRUE,08/25/20,06:10 PM,06:10 PM,FREE,BUSY
08/26/20,07:10 PM,07:10 PM,Astros at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/26/20,08/26/20,10:10 PM,10:10 PM,FALSE,TRUE,08/26/20,06:10 PM,06:10 PM,FREE,BUSY
08/27/20,01:10 PM,01:10 PM,Astros at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/27/20,08/27/20,04:10 PM,04:10 PM,FALSE,TRUE,08/27/20,12:10 PM,12:10 PM,FREE,BUSY
08/28/20,07:10 PM,07:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/28/20,08/28/20,10:10 PM,10:10 PM,FALSE,TRUE,08/28/20,06:10 PM,06:10 PM,FREE,BUSY
08/29/20,06:10 PM,06:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/29/20,08/29/20,09:10 PM,09:10 PM,FALSE,TRUE,08/29/20,05:10 PM,05:10 PM,FREE,BUSY
08/30/20,01:10 PM,01:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",08/30/20,08/30/20,04:10 PM,04:10 PM,FALSE,TRUE,08/30/20,12:10 PM,12:10 PM,FREE,BUSY
09/01/20,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"Local TV: FS-D",09/01/20,09/01/20,10:07 PM,10:07 PM,FALSE,TRUE,09/01/20,06:07 PM,06:07 PM,FREE,BUSY
09/02/20,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"Local TV: FS-D",09/02/20,09/02/20,10:07 PM,10:07 PM,FALSE,TRUE,09/02/20,06:07 PM,06:07 PM,FREE,BUSY
09/03/20,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"Local TV: FS-D",09/03/20,09/03/20,10:07 PM,10:07 PM,FALSE,TRUE,09/03/20,06:07 PM,06:07 PM,FREE,BUSY
09/04/20,07:10 PM,07:10 PM,Tigers at Red Sox,Fenway Park - Boston,"Local TV: FS-D",09/04/20,09/04/20,10:10 PM,10:10 PM,FALSE,TRUE,09/04/20,06:10 PM,06:10 PM,FREE,BUSY
09/05/20,07:10 PM,07:10 PM,Tigers at Red Sox,Fenway Park - Boston,"Local TV: FS-D",09/05/20,09/05/20,10:10 PM,10:10 PM,FALSE,TRUE,09/05/20,06:10 PM,06:10 PM,FREE,BUSY
09/06/20,01:05 PM,01:05 PM,Tigers at Red Sox,Fenway Park - Boston,"Local TV: FS-D",09/06/20,09/06/20,04:05 PM,04:05 PM,FALSE,TRUE,09/06/20,12:05 PM,12:05 PM,FREE,BUSY
09/07/20,01:05 PM,01:05 PM,Tigers at Red Sox,Fenway Park - Boston,"Local TV: FS-D",09/07/20,09/07/20,04:05 PM,04:05 PM,FALSE,TRUE,09/07/20,12:05 PM,12:05 PM,FREE,BUSY
09/08/20,06:40 PM,06:40 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/08/20,09/08/20,09:40 PM,09:40 PM,FALSE,TRUE,09/08/20,05:40 PM,05:40 PM,FREE,BUSY
09/09/20,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/09/20,09/09/20,04:10 PM,04:10 PM,FALSE,TRUE,09/09/20,12:10 PM,12:10 PM,FREE,BUSY
09/11/20,07:10 PM,07:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/11/20,09/11/20,10:10 PM,10:10 PM,FALSE,TRUE,09/11/20,06:10 PM,06:10 PM,FREE,BUSY
09/12/20,06:10 PM,06:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/12/20,09/12/20,09:10 PM,09:10 PM,FALSE,TRUE,09/12/20,05:10 PM,05:10 PM,FREE,BUSY
09/13/20,01:10 PM,01:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/13/20,09/13/20,04:10 PM,04:10 PM,FALSE,TRUE,09/13/20,12:10 PM,12:10 PM,FREE,BUSY
09/14/20,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D",09/14/20,09/14/20,09:10 PM,09:10 PM,FALSE,TRUE,09/14/20,05:10 PM,05:10 PM,FREE,BUSY
09/15/20,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D",09/15/20,09/15/20,09:10 PM,09:10 PM,FALSE,TRUE,09/15/20,05:10 PM,05:10 PM,FREE,BUSY
09/16/20,01:10 PM,01:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D",09/16/20,09/16/20,04:10 PM,04:10 PM,FALSE,TRUE,09/16/20,12:10 PM,12:10 PM,FREE,BUSY
09/18/20,08:10 PM,08:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",09/18/20,09/18/20,11:10 PM,11:10 PM,FALSE,TRUE,09/18/20,07:10 PM,07:10 PM,FREE,BUSY
09/19/20,07:10 PM,07:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",09/19/20,09/19/20,10:10 PM,10:10 PM,FALSE,TRUE,09/19/20,06:10 PM,06:10 PM,FREE,BUSY
09/20/20,02:10 PM,02:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",09/20/20,09/20/20,05:10 PM,05:10 PM,FALSE,TRUE,09/20/20,01:10 PM,01:10 PM,FREE,BUSY
09/21/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",09/21/20,09/21/20,11:05 PM,11:05 PM,FALSE,TRUE,09/21/20,07:05 PM,07:05 PM,FREE,BUSY
09/22/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",09/22/20,09/22/20,11:05 PM,11:05 PM,FALSE,TRUE,09/22/20,07:05 PM,07:05 PM,FREE,BUSY
09/23/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",09/23/20,09/23/20,11:05 PM,11:05 PM,FALSE,TRUE,09/23/20,07:05 PM,07:05 PM,FREE,BUSY
09/24/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",09/24/20,09/24/20,11:05 PM,11:05 PM,FALSE,TRUE,09/24/20,07:05 PM,07:05 PM,FREE,BUSY
09/25/20,07:10 PM,07:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/25/20,09/25/20,10:10 PM,10:10 PM,FALSE,TRUE,09/25/20,06:10 PM,06:10 PM,FREE,BUSY
09/26/20,06:10 PM,06:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/26/20,09/26/20,09:10 PM,09:10 PM,FALSE,TRUE,09/26/20,05:10 PM,05:10 PM,FREE,BUSY
09/27/20,03:10 PM,03:10 PM,White Sox at Tigers,Comerica Park - Detroit,"Local TV: FS-D",09/27/20,09/27/20,06:10 PM,06:10 PM,FALSE,TRUE,09/27/20,02:10 PM,02:10 PM,FREE,BUSY
