START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/30/20,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",03/30/20,03/30/20,04:10 PM,04:10 PM,FALSE,TRUE,03/30/20,12:10 PM,12:10 PM,FREE,BUSY
04/01/20,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/01/20,04/01/20,04:10 PM,04:10 PM,FALSE,TRUE,04/01/20,12:10 PM,12:10 PM,FREE,BUSY
04/02/20,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/02/20,04/02/20,04:10 PM,04:10 PM,FALSE,TRUE,04/02/20,12:10 PM,12:10 PM,FREE,BUSY
04/03/20,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/03/20,04/03/20,04:10 PM,04:10 PM,FALSE,TRUE,04/03/20,12:10 PM,12:10 PM,FREE,BUSY
04/04/20,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/04/20,04/04/20,04:10 PM,04:10 PM,FALSE,TRUE,04/04/20,12:10 PM,12:10 PM,FREE,BUSY
04/05/20,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/05/20,04/05/20,04:10 PM,04:10 PM,FALSE,TRUE,04/05/20,12:10 PM,12:10 PM,FREE,BUSY
04/06/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",04/06/20,04/06/20,11:05 PM,11:05 PM,FALSE,TRUE,04/06/20,07:05 PM,07:05 PM,FREE,BUSY
04/07/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",04/07/20,04/07/20,11:05 PM,11:05 PM,FALSE,TRUE,04/07/20,07:05 PM,07:05 PM,FREE,BUSY
04/08/20,01:35 PM,01:35 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",04/08/20,04/08/20,04:35 PM,04:35 PM,FALSE,TRUE,04/08/20,12:35 PM,12:35 PM,FREE,BUSY
04/10/20,07:10 PM,07:10 PM,Angels at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/10/20,04/10/20,10:10 PM,10:10 PM,FALSE,TRUE,04/10/20,06:10 PM,06:10 PM,FREE,BUSY
04/11/20,01:10 PM,01:10 PM,Angels at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/11/20,04/11/20,04:10 PM,04:10 PM,FALSE,TRUE,04/11/20,12:10 PM,12:10 PM,FREE,BUSY
04/12/20,01:10 PM,01:10 PM,Angels at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/12/20,04/12/20,04:10 PM,04:10 PM,FALSE,TRUE,04/12/20,12:10 PM,12:10 PM,FREE,BUSY
04/14/20,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D",04/14/20,04/14/20,09:10 PM,09:10 PM,FALSE,TRUE,04/14/20,05:10 PM,05:10 PM,FREE,BUSY
04/15/20,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D",04/15/20,04/15/20,09:10 PM,09:10 PM,FALSE,TRUE,04/15/20,05:10 PM,05:10 PM,FREE,BUSY
04/16/20,01:10 PM,01:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D",04/16/20,04/16/20,04:10 PM,04:10 PM,FALSE,TRUE,04/16/20,12:10 PM,12:10 PM,FREE,BUSY
04/17/20,08:10 PM,08:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",04/17/20,04/17/20,11:10 PM,11:10 PM,FALSE,TRUE,04/17/20,07:10 PM,07:10 PM,FREE,BUSY
04/18/20,02:10 PM,02:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",04/18/20,04/18/20,05:10 PM,05:10 PM,FALSE,TRUE,04/18/20,01:10 PM,01:10 PM,FREE,BUSY
04/19/20,02:10 PM,02:10 PM,Tigers at Twins,Target Field - Minneapolis,"Local TV: FS-D",04/19/20,04/19/20,05:10 PM,05:10 PM,FALSE,TRUE,04/19/20,01:10 PM,01:10 PM,FREE,BUSY
04/20/20,06:40 PM,06:40 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/20/20,04/20/20,09:40 PM,09:40 PM,FALSE,TRUE,04/20/20,05:40 PM,05:40 PM,FREE,BUSY
04/21/20,06:40 PM,06:40 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/21/20,04/21/20,09:40 PM,09:40 PM,FALSE,TRUE,04/21/20,05:40 PM,05:40 PM,FREE,BUSY
04/22/20,06:40 PM,06:40 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/22/20,04/22/20,09:40 PM,09:40 PM,FALSE,TRUE,04/22/20,05:40 PM,05:40 PM,FREE,BUSY
04/23/20,01:10 PM,01:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/23/20,04/23/20,04:10 PM,04:10 PM,FALSE,TRUE,04/23/20,12:10 PM,12:10 PM,FREE,BUSY
04/24/20,07:10 PM,07:10 PM,Padres at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/24/20,04/24/20,10:10 PM,10:10 PM,FALSE,TRUE,04/24/20,06:10 PM,06:10 PM,FREE,BUSY
04/25/20,01:10 PM,01:10 PM,Padres at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/25/20,04/25/20,04:10 PM,04:10 PM,FALSE,TRUE,04/25/20,12:10 PM,12:10 PM,FREE,BUSY
04/26/20,01:10 PM,01:10 PM,Padres at Tigers,Comerica Park - Detroit,"Local TV: FS-D",04/26/20,04/26/20,04:10 PM,04:10 PM,FALSE,TRUE,04/26/20,12:10 PM,12:10 PM,FREE,BUSY
04/28/20,06:35 PM,06:35 PM,Tigers at Yankees,Yankee Stadium - Bronx,"Local TV: FS-D",04/28/20,04/28/20,09:35 PM,09:35 PM,FALSE,TRUE,04/28/20,05:35 PM,05:35 PM,FREE,BUSY
04/29/20,06:35 PM,06:35 PM,Tigers at Yankees,Yankee Stadium - Bronx,"Local TV: FS-D",04/29/20,04/29/20,09:35 PM,09:35 PM,FALSE,TRUE,04/29/20,05:35 PM,05:35 PM,FREE,BUSY
04/30/20,06:35 PM,06:35 PM,Tigers at Yankees,Yankee Stadium - Bronx,"Local TV: FS-D",04/30/20,04/30/20,09:35 PM,09:35 PM,FALSE,TRUE,04/30/20,05:35 PM,05:35 PM,FREE,BUSY
05/01/20,08:05 PM,08:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",05/01/20,05/01/20,11:05 PM,11:05 PM,FALSE,TRUE,05/01/20,07:05 PM,07:05 PM,FREE,BUSY
05/02/20,07:05 PM,07:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",05/02/20,05/02/20,10:05 PM,10:05 PM,FALSE,TRUE,05/02/20,06:05 PM,06:05 PM,FREE,BUSY
05/03/20,02:05 PM,02:05 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS-D",05/03/20,05/03/20,05:05 PM,05:05 PM,FALSE,TRUE,05/03/20,01:05 PM,01:05 PM,FREE,BUSY
05/04/20,07:10 PM,07:10 PM,Rockies at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/04/20,05/04/20,10:10 PM,10:10 PM,FALSE,TRUE,05/04/20,06:10 PM,06:10 PM,FREE,BUSY
05/05/20,07:10 PM,07:10 PM,Rockies at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/05/20,05/05/20,10:10 PM,10:10 PM,FALSE,TRUE,05/05/20,06:10 PM,06:10 PM,FREE,BUSY
05/06/20,01:10 PM,01:10 PM,Rockies at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/06/20,05/06/20,04:10 PM,04:10 PM,FALSE,TRUE,05/06/20,12:10 PM,12:10 PM,FREE,BUSY
05/08/20,07:10 PM,07:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/08/20,05/08/20,10:10 PM,10:10 PM,FALSE,TRUE,05/08/20,06:10 PM,06:10 PM,FREE,BUSY
05/09/20,04:10 PM,04:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/09/20,05/09/20,07:10 PM,07:10 PM,FALSE,TRUE,05/09/20,03:10 PM,03:10 PM,FREE,BUSY
05/10/20,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/10/20,05/10/20,04:10 PM,04:10 PM,FALSE,TRUE,05/10/20,12:10 PM,12:10 PM,FREE,BUSY
05/11/20,07:10 PM,07:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/11/20,05/11/20,10:10 PM,10:10 PM,FALSE,TRUE,05/11/20,06:10 PM,06:10 PM,FREE,BUSY
05/12/20,07:10 PM,07:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/12/20,05/12/20,10:10 PM,10:10 PM,FALSE,TRUE,05/12/20,06:10 PM,06:10 PM,FREE,BUSY
05/13/20,07:10 PM,07:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/13/20,05/13/20,10:10 PM,10:10 PM,FALSE,TRUE,05/13/20,06:10 PM,06:10 PM,FREE,BUSY
05/14/20,01:10 PM,01:10 PM,Twins at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/14/20,05/14/20,04:10 PM,04:10 PM,FALSE,TRUE,05/14/20,12:10 PM,12:10 PM,FREE,BUSY
05/15/20,10:10 PM,10:10 PM,Tigers at Mariners,T-Mobile Park - Seattle,"Local TV: FS-D",05/16/20,05/16/20,01:10 AM,01:10 AM,FALSE,TRUE,05/15/20,09:10 PM,09:10 PM,FREE,BUSY
05/16/20,09:10 PM,09:10 PM,Tigers at Mariners,T-Mobile Park - Seattle,"Local TV: FS-D",05/17/20,05/17/20,12:10 AM,12:10 AM,FALSE,TRUE,05/16/20,08:10 PM,08:10 PM,FREE,BUSY
05/17/20,04:10 PM,04:10 PM,Tigers at Mariners,T-Mobile Park - Seattle,"Local TV: FS-D",05/17/20,05/17/20,07:10 PM,07:10 PM,FALSE,TRUE,05/17/20,03:10 PM,03:10 PM,FREE,BUSY
05/19/20,09:45 PM,09:45 PM,Tigers at Giants,Oracle Park - San Francisco,"Local TV: FS-D",05/20/20,05/20/20,12:45 AM,12:45 AM,FALSE,TRUE,05/19/20,08:45 PM,08:45 PM,FREE,BUSY
05/20/20,03:45 PM,03:45 PM,Tigers at Giants,Oracle Park - San Francisco,"Local TV: FS-D",05/20/20,05/20/20,06:45 PM,06:45 PM,FALSE,TRUE,05/20/20,02:45 PM,02:45 PM,FREE,BUSY
05/22/20,07:10 PM,07:10 PM,Rays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/22/20,05/22/20,10:10 PM,10:10 PM,FALSE,TRUE,05/22/20,06:10 PM,06:10 PM,FREE,BUSY
05/23/20,04:10 PM,04:10 PM,Rays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/23/20,05/23/20,07:10 PM,07:10 PM,FALSE,TRUE,05/23/20,03:10 PM,03:10 PM,FREE,BUSY
05/24/20,01:10 PM,01:10 PM,Rays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/24/20,05/24/20,04:10 PM,04:10 PM,FALSE,TRUE,05/24/20,12:10 PM,12:10 PM,FREE,BUSY
05/25/20,01:10 PM,01:10 PM,Rays at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/25/20,05/25/20,04:10 PM,04:10 PM,FALSE,TRUE,05/25/20,12:10 PM,12:10 PM,FREE,BUSY
05/26/20,07:10 PM,07:10 PM,Mariners at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/26/20,05/26/20,10:10 PM,10:10 PM,FALSE,TRUE,05/26/20,06:10 PM,06:10 PM,FREE,BUSY
05/27/20,07:10 PM,07:10 PM,Mariners at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/27/20,05/27/20,10:10 PM,10:10 PM,FALSE,TRUE,05/27/20,06:10 PM,06:10 PM,FREE,BUSY
05/28/20,01:10 PM,01:10 PM,Mariners at Tigers,Comerica Park - Detroit,"Local TV: FS-D",05/28/20,05/28/20,04:10 PM,04:10 PM,FALSE,TRUE,05/28/20,12:10 PM,12:10 PM,FREE,BUSY
05/29/20,09:40 PM,09:40 PM,Tigers at D-backs,Chase Field - Phoenix,"Local TV: FS-D",05/30/20,05/30/20,12:40 AM,12:40 AM,FALSE,TRUE,05/29/20,08:40 PM,08:40 PM,FREE,BUSY
